USER,TWEET,engagement_type,engaged_at,is_organic
U000966,T0004787,quote,2022-05-03 07:02:16,True
U000741,T0003456,like,2025-08-21 15:43:29,True
U000610,T0001291,like,2025-03-30 20:22:46,True
U000551,T0002057,retweet,2022-05-01 05:08:47,True
U000534,T0001764,like,2022-12-30 14:30:53,True
U000202,T0003969,like,2024-03-08 13:03:48,False
U000859,T0002380,like,2021-12-11 16:37:09,True
U000485,T0001586,retweet,2023-10-26 06:06:49,True
U000752,T0004529,like,2025-06-02 11:29:52,True
U000560,T0004732,like,2023-11-25 03:47:38,True
U000599,T0002938,like,2025-03-25 10:31:25,True
U000938,T0000382,retweet,2024-04-09 13:56:25,True
U000499,T0004549,like,2025-01-18 17:25:18,False
U000659,T0003208,retweet,2023-01-10 20:27:35,True
U000013,T0002498,retweet,2023-02-28 14:08:24,True
U000557,T0002556,reply,2025-01-22 04:43:22,True
U000303,T0000564,like,2025-11-04 11:29:06,True
U000236,T0001388,like,2024-01-18 08:39:42,False
U000497,T0001527,quote,2025-05-23 11:02:18,True
U000666,T0000013,retweet,2025-06-17 07:01:27,True
U000659,T0004168,like,2024-06-18 18:56:23,True
U000295,T0004012,retweet,2024-10-01 22:25:25,True
U000789,T0002418,retweet,2025-06-14 12:22:28,True
U000769,T0003539,reply,2022-03-06 21:29:23,True
U000503,T0003224,retweet,2025-02-01 03:37:16,True
U000416,T0004734,like,2022-08-11 14:12:57,False
U000508,T0001362,retweet,2023-03-24 13:41:25,True
U000607,T0003957,like,2024-02-05 22:02:12,True
U000468,T0001250,like,2022-03-21 12:17:10,True
U000842,T0003071,retweet,2025-11-07 02:00:08,False
U000047,T0001577,like,2023-08-06 14:56:16,True
U000230,T0002445,retweet,2025-07-24 16:58:05,False
U000056,T0003661,like,2023-10-28 05:09:05,True
U000236,T0000879,like,2022-02-22 08:22:56,True
U000363,T0001529,retweet,2024-06-17 17:34:35,False
U000249,T0000934,like,2024-03-23 20:08:31,True
U000566,T0003969,retweet,2023-10-12 19:20:57,True
U000417,T0004558,like,2024-11-10 18:19:00,True
U000857,T0002840,like,2024-09-06 14:20:14,True
U000106,T0003491,like,2022-06-29 10:08:05,True
U000470,T0001064,retweet,2025-08-08 05:50:34,True
U000582,T0000670,retweet,2025-09-25 09:21:58,True
