location_id,name,country_code,woeid
LOC0001,Patriciaside,TJ,7858111
LOC0002,New Melanie,,1745151
LOC0003,Michaeltown,LY,9743174
LOC0004,Munoztown,EC,7979051
LOC0005,North Mariaside,AE,
LOC0006,Derrickmouth,MR,1005430
LOC0007,North Dean,,9085281
LOC0008,Kinghaven,,1522888
LOC0009,Westport,,8813111
LOC0010,Port Jessicafort,GY,1919374
LOC0011,Bergerland,MY,5952694
LOC0012,Carrollville,CM,7730547
LOC0013,West Ashley,AT,
LOC0014,Port Johnnyshire,,
LOC0015,New Lancemouth,MX,7908592
LOC0016,Cristinafurt,,9262026
LOC0017,East Tiffany,,
LOC0018,Port Christina,CL,4422677
LOC0019,Ramoston,,7134426
LOC0020,New John,,8089455
LOC0021,Quinnland,,3357151
LOC0022,North Stephanieville,,3737930
LOC0023,Derekchester,,5449090
LOC0024,Port Amberfort,,4576858
LOC0025,Sanchezburgh,GA,8905166
LOC0026,New Gabriellemouth,BI,3592071
LOC0027,Jamestown,SO,
LOC0028,New Matthew,,4041928
LOC0029,Garrettmouth,KM,1550711
LOC0030,Ryanfort,ST,7217607
LOC0031,Terriburgh,TL,2565354
LOC0032,Port Douglasstad,,2064889
LOC0033,New Nataliestad,NP,3210560
LOC0034,Jenniferburgh,VU,4718703
LOC0035,Allenport,,9522296
LOC0036,Mayborough,CV,1999378
LOC0037,Port Susan,,5772932
LOC0038,Suttonfurt,MN,9470736
LOC0039,Sandrachester,MM,1338293
LOC0040,New Karl,MG,7787413
LOC0041,South Mary,,1517435
LOC0042,East Tamara,,1821298
LOC0043,Lauraview,MG,
LOC0044,Jaredbury,ML,1223625
LOC0045,Washingtonshire,VU,1713050
LOC0046,Port Dianastad,CI,9381279
LOC0047,Walterhaven,EE,4960862
LOC0048,West Gregory,,6912239
LOC0049,New Emily,ZM,6577035
LOC0050,Davisland,AR,
LOC0051,Knoxland,BO,6712311
LOC0052,South Sandraport,GD,6844967
LOC0053,Warnertown,,5599970
LOC0054,New Ronaldview,,1269713
LOC0055,West Corey,JO,8433356
LOC0056,South Christopher,,9953228
LOC0057,Jamesland,UZ,2435715
LOC0058,Brownport,HT,2606019
LOC0059,Robinsonberg,KM,3331763
LOC0060,Port Brenda,SG,5923997
LOC0061,Lake Melissa,PE,1240319
LOC0062,Donaldmouth,NG,3172267
LOC0063,East Yvettebury,RO,3029366
LOC0064,Lake Debra,IS,7694402
LOC0065,Fernandezside,KH,9759273
LOC0066,New Jesseville,NL,7930068
LOC0067,New Charlesberg,,7349822
LOC0068,Lake Ashleyberg,,5955190
LOC0069,South Melissa,,9342308
LOC0070,Marquezhaven,CO,3474935
LOC0071,Lake Dawnfort,TT,6707655
LOC0072,Geneton,,1567849
LOC0073,Floresmouth,NA,6182478
LOC0074,New Yolanda,KI,2811947
LOC0075,Jonesmouth,,3519917
LOC0076,New Caitlin,ML,4819531
LOC0077,Huynhchester,CU,2996942
LOC0078,West Johnview,BZ,6526199
LOC0079,Tylerville,DM,3506745
LOC0080,Priceton,,3073320
LOC0081,Rickville,,5544401
LOC0082,Lake Brittanyside,LT,2828764
LOC0083,Pattersonstad,CG,2260050
LOC0084,Wilkinsonside,,9144961
LOC0085,West Julie,SB,4302334
LOC0086,Benderton,TM,9081810
LOC0087,Lake Danielborough,,6095859
LOC0088,South Sandra,,8165282
LOC0089,Solomonland,,
LOC0090,Wilsonside,,9674575
LOC0091,Lake William,,
LOC0092,Lake Rickytown,IT,6213222
LOC0093,Lindaport,VU,9712715
LOC0094,Johnsonstad,CU,4641400
LOC0095,Thompsonton,LK,5735214
LOC0096,Kyleville,AZ,7996292
LOC0097,New Garychester,UG,9945384
LOC0098,South Kathy,GT,3501378
LOC0099,Lake Vicki,NG,6401085
LOC0100,Samueltown,,9831302
LOC0101,Millermouth,,6555250
LOC0102,Kellyshire,SZ,4865492
LOC0103,Romeroborough,KR,8914267
LOC0104,Haynesview,BJ,8932521
LOC0105,Lake Kennethfurt,SZ,9930124
LOC0106,Port Lisa,CR,6384696
LOC0107,Donnatown,,3170668
LOC0108,New Alexander,CI,4609586
LOC0109,West Kathryn,LK,4180661
LOC0110,West Johnstad,QA,7645999
LOC0111,North Kennethfort,NE,
LOC0112,Walltown,GN,5310479
LOC0113,Lake Lance,WS,
LOC0114,Jimeneztown,,5653378
LOC0115,Evansstad,HT,7408078
LOC0116,Wangtown,RO,5550332
LOC0117,Taylormouth,,9033348
LOC0118,Jeffreystad,,4804764
LOC0119,Drakeport,LK,8565242
LOC0120,Simmonsborough,,1477989
LOC0121,Lunafurt,BI,6075855
LOC0122,New Sean,MG,7111882
LOC0123,New Brent,CF,7934958
LOC0124,Port Kellyberg,CR,2548877
LOC0125,Lake Charles,NG,3195026
LOC0126,Jasonside,ST,5280320
LOC0127,West Alexa,TG,9639747
LOC0128,West Rhonda,RU,1755582
LOC0129,Andrewberg,VU,3808155
LOC0130,Rodriguezshire,JP,1687148
LOC0131,East Karen,MW,4468513
LOC0132,Thompsonshire,DO,9814085
LOC0133,Ginafort,AU,8714695
LOC0134,Pearsonview,,8701456
LOC0135,Michelleside,TG,6926589
LOC0136,Barbarafort,,7335498
LOC0137,Jenniferstad,,3594682
LOC0138,Buchananside,SN,3131697
LOC0139,Josephborough,ME,9446410
LOC0140,Lake Amanda,RU,5388737
LOC0141,Taylorton,,4615384
LOC0142,Tylerberg,,
LOC0143,Tonybury,TW,8229112
LOC0144,Edwinhaven,NO,
LOC0145,Sheilachester,GY,5582933
LOC0146,Martinezmouth,JP,
LOC0147,West Gloriaport,FM,6705121
LOC0148,Moonside,CN,2536329
LOC0149,Flemingside,MH,8264484
LOC0150,Livingstonton,,2985612
