TWEET,HASHTAG,position_in_tweet,is_promoted
T0000001,H00103,1,False
T0000001,H00232,2,False
T0000001,H00217,3,False
T0000003,H00203,1,True
T0000003,H00024,2,False
T0000003,H00224,3,False
T0000004,H00147,1,False
T0000004,H00463,2,False
T0000004,H00064,3,False
T0000004,H00414,4,False
T0000004,H00373,5,False
T0000005,H00158,1,False
T0000005,H00351,2,False
T0000006,H00181,1,False
T0000006,H00119,2,False
T0000007,H00395,1,False
T0000007,H00423,2,False
T0000007,H00203,3,True
T0000007,H00103,4,False
T0000007,H00414,5,False
T0000008,H00258,1,False
T0000008,H00267,2,False
T0000008,H00284,3,False
T0000008,H00305,4,False
T0000009,H00138,1,False
T0000010,H00121,1,False
T0000010,H00005,2,False
T0000011,H00044,1,False
T0000011,H00462,2,False
T0000011,H00188,3,False
T0000011,H00279,4,False
T0000012,H00253,1,False
T0000012,H00463,2,False
T0000012,H00173,3,False
T0000012,H00487,4,False
T0000013,H00091,1,False
T0000013,H00165,2,False
T0000014,H00446,1,False
T0000015,H00444,1,False
T0000015,H00165,2,False
T0000015,H00215,3,False
T0000015,H00469,4,False
T0000016,H00226,1,True
T0000016,H00119,2,False
T0000016,H00497,3,False
T0000017,H00322,1,False
T0000018,H00322,1,False
T0000018,H00239,2,False
T0000018,H00166,3,False
T0000018,H00428,4,False
T0000018,H00020,5,False
T0000019,H00496,1,False
T0000019,H00469,2,False
T0000020,H00245,1,False
T0000020,H00024,2,False
T0000020,H00330,3,True
T0000021,H00171,1,False
T0000021,H00119,2,False
T0000022,H00444,1,True
T0000022,H00380,2,False
T0000022,H00073,3,False
T0000022,H00326,4,False
T0000023,H00088,1,False
T0000023,H00003,2,False
T0000023,H00418,3,False
T0000023,H00323,4,False
T0000023,H00428,5,False
T0000024,H00280,1,False
T0000024,H00176,2,False
T0000025,H00334,1,False
T0000025,H00281,2,False
T0000026,H00054,1,False
T0000026,H00323,2,False
T0000026,H00413,3,False
T0000026,H00010,4,False
T0000027,H00344,1,False
T0000027,H00321,2,False
T0000027,H00024,3,False
T0000028,H00111,1,True
T0000029,H00334,1,False
T0000029,H00310,2,False
T0000029,H00143,3,False
T0000029,H00430,4,False
T0000029,H00203,5,True
T0000030,H00469,1,False
T0000030,H00371,2,False
T0000030,H00165,3,True
T0000031,H00487,1,False
T0000031,H00203,2,False
T0000032,H00091,1,False
T0000032,H00159,2,False
T0000032,H00470,3,False
T0000033,H00018,1,False
T0000033,H00194,2,False
T0000033,H00418,3,False
T0000034,H00140,1,False
T0000034,H00121,2,False
T0000034,H00418,3,False
T0000035,H00247,1,False
T0000035,H00143,2,False
T0000035,H00469,3,False
T0000036,H00471,1,False
T0000036,H00497,2,False
T0000036,H00049,3,False
T0000037,H00388,1,False
T0000037,H00288,2,False
T0000037,H00399,3,False
T0000038,H00049,1,False
T0000039,H00474,1,False
T0000039,H00225,2,False
T0000039,H00041,3,False
T0000039,H00159,4,True
T0000040,H00348,1,False
T0000040,H00198,2,False
T0000040,H00343,3,True
T0000040,H00147,4,False
T0000041,H00288,1,False
T0000041,H00183,2,False
T0000041,H00471,3,False
T0000041,H00473,4,False
T0000043,H00395,1,False
T0000043,H00203,2,False
T0000043,H00049,3,False
T0000044,H00386,1,True
T0000044,H00446,2,False
T0000044,H00152,3,False
T0000044,H00433,4,False
T0000044,H00181,5,False
T0000045,H00281,1,False
T0000046,H00073,1,False
T0000046,H00269,2,False
T0000046,H00267,3,False
T0000046,H00041,4,False
T0000047,H00497,1,False
T0000048,H00005,1,False
T0000048,H00496,2,False
T0000048,H00444,3,False
T0000048,H00030,4,False
T0000049,H00280,1,False
T0000049,H00064,2,False
T0000049,H00037,3,True
T0000049,H00446,4,False
T0000050,H00205,1,False
T0000050,H00344,2,False
T0000050,H00416,3,False
T0000050,H00258,4,False
T0000051,H00373,1,False
T0000051,H00138,2,False
T0000051,H00003,3,False
T0000051,H00176,4,False
T0000051,H00179,5,True
T0000052,H00334,1,False
T0000052,H00208,2,False
T0000052,H00331,3,False
T0000052,H00058,4,True
T0000052,H00232,5,False
T0000053,H00042,1,False
T0000053,H00203,2,False
T0000054,H00496,1,True
T0000054,H00472,2,False
T0000055,H00496,1,False
T0000055,H00006,2,False
T0000055,H00051,3,True
T0000056,H00070,1,False
T0000056,H00388,2,False
T0000057,H00032,1,False
T0000057,H00018,2,False
T0000058,H00181,1,False
T0000058,H00178,2,False
T0000058,H00310,3,False
T0000058,H00314,4,False
T0000058,H00173,5,False
T0000059,H00154,1,False
T0000059,H00469,2,False
T0000059,H00471,3,False
T0000060,H00326,1,False
T0000060,H00281,2,False
T0000060,H00433,3,False
T0000060,H00190,4,False
T0000060,H00267,5,False
T0000061,H00109,1,False
T0000062,H00245,1,False
T0000063,H00088,1,False
T0000063,H00162,2,False
T0000063,H00226,3,False
T0000064,H00177,1,False
T0000064,H00323,2,False
T0000064,H00044,3,False
T0000064,H00183,4,False
T0000065,H00253,1,False
T0000065,H00054,2,True
T0000066,H00010,1,False
T0000066,H00203,2,False
T0000066,H00009,3,False
T0000067,H00203,1,False
T0000067,H00253,2,False
T0000067,H00121,3,False
T0000067,H00154,4,False
T0000067,H00326,5,False
T0000068,H00279,1,False
T0000068,H00395,2,False
T0000068,H00423,3,False
T0000068,H00176,4,True
T0000069,H00159,1,False
T0000069,H00073,2,False
T0000070,H00119,1,False
T0000070,H00198,2,False
T0000071,H00335,1,False
T0000071,H00430,2,False
T0000072,H00358,1,False
T0000072,H00203,2,False
T0000072,H00278,3,False
T0000072,H00279,4,False
T0000073,H00075,1,False
T0000073,H00306,2,True
T0000073,H00054,3,False
T0000073,H00471,4,False
T0000073,H00348,5,False
T0000074,H00073,1,False
T0000074,H00183,2,False
T0000075,H00183,1,False
T0000075,H00006,2,False
T0000075,H00321,3,False
T0000076,H00223,1,False
T0000076,H00165,2,True
T0000076,H00456,3,False
T0000076,H00484,4,False
T0000076,H00347,5,False
T0000077,H00075,1,False
