USER,USER,followed_at,notification_preference
U000013,U000484,2021-12-08 19:45:11,none
U000001,U000101,2023-11-16 08:05:39,all
U000059,U000372,2024-04-24 08:54:15,
U000001,U000393,2022-02-12 15:01:22,all
U000004,U000753,2024-08-10 09:21:24,none
U000001,U000974,2022-06-09 14:10:03,all
U000003,U000226,2023-07-28 15:24:32,
U000019,U000370,2025-07-25 09:34:03,all
U000004,U000712,2024-11-12 18:25:10,none
U000001,U000301,2024-03-12 03:57:27,none
U000001,U000524,2023-04-15 06:29:11,
U000002,U000028,2024-01-10 12:39:15,all
U000002,U000116,2025-08-04 09:41:32,none
U000001,U000275,2023-03-11 19:05:51,mentions
U000001,U000092,2025-06-04 08:43:20,mentions
U000001,U000733,2022-02-03 11:40:39,all
U000001,U000830,2023-04-05 10:57:50,
U000001,U000628,2022-01-08 21:49:19,all
U000003,U000969,2022-02-03 06:00:59,mentions
U000001,U000255,2025-07-19 06:37:55,mentions
U000002,U000928,2023-02-02 14:01:48,mentions
U000001,U000729,2022-09-08 02:14:38,mentions
U000038,U000736,2022-11-09 14:22:07,mentions
U000833,U000649,2024-03-10 16:57:28,
U000002,U000952,2022-03-27 08:31:25,
U000003,U000260,2024-07-15 18:55:21,
U000004,U000682,2024-12-12 17:28:12,mentions
U000002,U000545,2024-12-09 11:14:51,none
U000001,U000550,2023-11-28 11:25:49,mentions
U000001,U000561,2025-07-15 18:33:54,
U000009,U000410,2023-12-16 22:38:37,
U000002,U000500,2023-10-10 14:41:42,
U000001,U000874,2024-11-12 20:06:00,none
U000033,U000984,2025-07-18 16:08:32,none
U000009,U000450,2025-01-16 21:52:01,all
U000003,U000167,2023-06-30 23:17:52,
U000001,U000142,2023-05-17 04:51:19,
U000001,U000205,2024-09-18 02:31:51,none
U000017,U000403,2024-06-08 03:48:05,all
U000001,U000258,2023-04-16 03:18:12,
U000001,U000140,2023-12-28 19:59:50,mentions
U000001,U000555,2024-04-30 15:03:19,
U000001,U000008,2024-05-14 04:54:42,
U000001,U000714,2022-10-17 17:48:24,
U000002,U000220,2024-10-28 05:00:40,
U000001,U000353,2022-08-11 04:50:40,mentions
U000004,U000035,2025-08-25 11:15:01,mentions
U000001,U000359,2023-04-16 03:08:25,
U000001,U000648,2023-11-08 12:37:52,
U000005,U000276,2025-06-01 11:06:22,all
U000002,U000384,2024-04-12 14:54:30,
U000002,U000378,2022-04-13 18:37:12,all
U000002,U000668,2025-03-09 04:52:17,mentions
U000001,U000945,2023-03-21 11:13:28,mentions
U000001,U000557,2023-10-13 01:28:33,none
U000002,U000462,2025-11-15 06:00:38,
U000002,U000183,2023-06-22 10:08:01,
U000001,U000723,2025-01-18 05:05:44,all
U000007,U000308,2024-09-29 22:16:42,
U000004,U000455,2024-10-05 05:56:44,mentions
U000005,U000293,2024-03-20 03:00:18,mentions
U000001,U000531,2025-11-24 13:34:31,
U000001,U000440,2025-07-09 02:48:39,
U000002,U000532,2022-08-21 20:36:50,none
U000002,U000244,2024-04-09 08:12:58,
U000002,U000563,2022-08-05 00:09:48,
U000003,U000574,2022-12-30 22:58:44,none
U000002,U000742,2022-03-18 21:37:52,none
U000001,U000609,2024-11-01 12:02:26,all
U000001,U000037,2024-06-04 09:24:15,all
U000002,U000642,2025-01-07 14:40:39,
U000002,U000821,2022-05-10 14:31:38,all
U000004,U000354,2024-12-26 23:29:36,mentions
U000001,U000217,2024-08-05 13:49:55,
U000001,U000887,2023-02-21 12:08:45,all
U000001,U000983,2022-01-04 01:06:16,all
U000026,U000024,2025-08-05 03:47:49,
U000002,U000172,2025-03-23 02:59:40,
U000001,U000947,2023-10-23 00:55:22,mentions
U000055,U000586,2025-01-04 09:50:50,none
U000002,U000922,2023-08-21 14:32:43,mentions
U000002,U000708,2022-12-13 23:23:15,none
U000006,U000217,2023-12-16 03:03:25,
U000001,U000238,2025-06-29 04:16:30,
U000045,U000051,2025-01-13 09:59:30,none
U000002,U000658,2023-03-30 15:55:43,
U000003,U000791,2024-05-12 00:22:37,mentions
U000001,U000356,2022-07-29 10:17:26,
U000001,U000336,2023-12-02 00:30:59,
U000002,U000519,2025-05-20 06:53:40,none
U000002,U000379,2024-12-27 15:01:58,all
U000001,U000052,2023-07-03 13:01:44,all
U000001,U000087,2023-01-20 08:03:44,all
U000001,U000523,2025-06-05 01:01:31,mentions
U000006,U000023,2024-12-06 05:53:28,none
U000094,U000468,2024-07-23 00:23:20,mentions
U000003,U000941,2024-12-13 14:59:36,
U000002,U000113,2023-03-05 11:56:20,none
U000004,U000241,2022-01-29 10:01:25,none
U000001,U000483,2025-03-18 09:43:27,
U000010,U000690,2022-03-03 05:04:12,all
U000001,U000150,2022-03-06 03:05:42,none
U000001,U000286,2022-07-29 23:13:23,all
U000001,U000235,2024-11-06 21:19:11,none
U000030,U000705,2023-05-23 07:01:58,none
U000001,U000503,2024-02-09 19:03:01,
U000003,U000963,2025-05-03 01:38:45,all
U000001,U000750,2024-05-13 10:34:19,none
U000002,U000348,2023-03-13 02:03:16,none
U000001,U000332,2023-03-26 11:34:28,all
U000003,U000310,2023-06-06 03:23:35,none
U000009,U000046,2024-11-10 08:35:40,all
U000001,U000086,2025-06-16 05:54:15,none
U000004,U000049,2023-03-07 08:05:08,
U000008,U000412,2024-08-31 14:35:52,mentions
U000002,U000118,2024-09-04 18:42:23,mentions
U000006,U000273,2022-09-30 16:01:30,
U000001,U000647,2022-11-01 13:02:39,
U000001,U000986,2025-06-20 12:50:08,none
U000002,U000445,2024-01-24 04:16:20,all
U000042,U000665,2022-08-11 08:19:02,
U000008,U000478,2024-08-02 06:21:28,
U000001,U000352,2025-11-28 05:26:47,all
U000001,U000922,2024-12-04 00:13:25,none
U000001,U000347,2024-11-26 04:53:20,none
U000003,U000118,2022-06-03 18:05:45,none
U000003,U000334,2022-02-04 06:12:02,mentions
U000426,U000211,2022-03-13 15:19:08,
U000005,U000434,2024-01-07 09:02:32,all
U000006,U000091,2022-09-16 19:29:20,
U000003,U000271,2025-02-11 06:57:59,
U000001,U000717,2024-05-14 14:06:41,
U000028,U000912,2023-01-05 09:28:43,
U000037,U000919,2025-11-13 13:33:40,none
U000001,U000281,2023-02-07 17:48:35,all
U000140,U000792,2023-01-26 02:46:59,
U000003,U000843,2023-06-16 01:52:13,all
U000036,U000623,2023-05-13 07:05:05,none
U000642,U000594,2023-02-23 16:08:46,none
U000004,U000880,2022-01-19 08:16:00,mentions
U000015,U000355,2023-04-28 15:29:04,
U000004,U000594,2023-09-06 14:19:36,all
U000001,U000920,2022-09-02 18:14:13,
U000010,U000731,2023-01-06 17:09:41,
U000001,U000210,2024-09-17 08:41:34,
U000011,U000632,2024-01-15 16:00:22,
U000061,U000623,2025-09-17 20:34:01,all
U000016,U000427,2024-07-10 07:28:43,mentions
U000001,U000096,2022-06-01 21:48:34,none
U000001,U000957,2022-03-08 15:14:14,
U000001,U000482,2022-04-09 23:26:37,all
U000001,U000395,2025-08-25 06:10:17,
U000003,U000857,2023-06-27 20:04:06,
U000001,U000003,2025-03-25 08:50:31,none
U000021,U000672,2025-10-09 13:39:07,
U000003,U000119,2024-03-22 11:03:37,
U000014,U000059,2022-03-30 13:14:55,mentions
U000001,U000379,2025-09-26 07:59:17,
U000021,U000334,2025-07-26 20:12:19,all
U000004,U000337,2022-05-22 08:20:20,
U000002,U000594,2022-08-27 16:23:32,
U000001,U000730,2022-02-21 03:43:24,none
U000001,U000538,2024-10-19 01:53:36,none
U000006,U000751,2023-05-08 14:56:35,mentions
U000001,U000988,2025-08-05 06:45:42,
U000001,U000979,2021-12-17 12:24:16,all
U000001,U000421,2025-05-11 14:36:10,none
U000001,U000481,2021-12-04 14:32:33,none
U000001,U000895,2022-02-20 13:35:36,none
U000003,U000245,2023-02-19 23:23:08,
U000016,U000476,2024-03-08 08:35:22,
U000014,U000024,2022-03-14 18:32:05,none
U000001,U000757,2023-08-23 13:58:25,all
U000002,U000177,2022-06-19 12:57:48,none
U000010,U000087,2023-09-08 16:58:07,none
U000022,U000666,2024-02-22 18:41:08,
U000001,U000475,2022-07-12 20:43:37,mentions
U000018,U000559,2024-06-29 11:53:05,
U000001,U000881,2023-07-19 06:01:58,
U000002,U000399,2025-06-20 03:37:41,none
U000001,U000020,2023-03-04 17:45:05,
U000002,U000966,2025-02-21 23:03:21,
U000002,U000623,2022-07-31 01:48:37,mentions
U000014,U000095,2023-12-07 01:49:14,
U000001,U000896,2023-10-02 02:53:21,mentions
U000005,U000452,2022-12-10 16:53:21,
U000001,U000401,2024-09-12 10:20:34,
U000001,U000924,2024-11-02 17:31:09,all
U000003,U000676,2023-11-13 19:00:03,all
U000001,U000602,2025-10-18 20:58:21,mentions
U000003,U000661,2022-11-12 23:56:25,none
U000002,U000665,2025-01-18 11:34:44,mentions
U000001,U000113,2023-09-14 00:49:12,all
U000002,U000845,2024-12-22 05:01:27,none
U000003,U000597,2025-01-05 11:15:29,
U000061,U000923,2023-07-19 20:32:10,none
U000001,U000366,2025-10-18 08:06:06,mentions
U000001,U000187,2022-05-16 20:02:47,
U000002,U000107,2023-08-20 23:37:59,mentions
U000001,U000608,2023-12-28 05:08:28,mentions
U000043,U000356,2024-04-23 10:00:04,all
U000009,U000135,2025-07-28 11:26:33,
U000001,U000815,2024-11-15 17:19:29,none
U000001,U000230,2025-07-31 21:28:29,none
U000001,U000432,2024-01-27 03:26:25,all
U000003,U000583,2023-10-13 14:07:54,
U000006,U000123,2023-02-15 08:56:25,mentions
U000001,U000212,2025-08-31 14:40:41,none
U000001,U000367,2022-09-16 19:25:16,
U000002,U000473,2023-04-16 11:04:41,mentions
U000001,U000427,2024-10-06 13:52:17,
U000001,U000919,2023-05-31 00:10:55,
U000001,U000446,2022-09-14 07:20:27,
U000001,U000814,2023-12-14 05:05:14,
U000001,U000464,2022-07-21 14:35:23,
U000011,U000995,2022-05-17 22:31:23,all
U000001,U000662,2023-08-11 13:33:09,all
