USER,TWEET,posted_at,device_type,location_coordinates
U000399,T0000001,2023-04-05 16:01:31,,"-7.940868,-173.289083"
U000315,T0000002,2024-07-14 12:30:57,Windows,"-28.0576625,-10.724893"
U000259,T0000003,2022-09-02 15:07:55,Mac,
U000745,T0000004,2023-01-01 11:39:28,Web,"41.359935,-114.961074"
U000840,T0000005,2024-11-06 02:47:30,Windows,"55.1266085,35.343246"
U000265,T0000006,2025-07-11 11:45:13,,"-65.400455,-99.126651"
U000773,T0000007,2024-09-21 05:45:26,,
U000420,T0000008,2023-08-20 19:31:37,,"-6.2476125,-18.897912"
U000509,T0000009,2023-02-21 11:28:04,,
U000505,T0000010,2021-12-11 19:30:00,Web,"-76.3082405,-20.949360"
U000573,T0000011,2022-07-03 04:07:13,Android,"-61.957296,95.157476"
U000498,T0000012,2023-06-05 12:29:00,Mac,
U000794,T0000013,2023-11-25 05:15:19,Mac,
U000558,T0000014,2025-09-10 01:35:32,Android,
U000134,T0000015,2025-11-13 15:35:40,,
U000870,T0000016,2023-02-12 21:54:36,,"-33.8591235,-94.538944"
U000084,T0000017,2023-01-01 18:06:16,iPhone,
U000001,T0000018,2024-01-20 12:56:10,Android,"-38.471128,-1.473991"
U000258,T0000019,2023-02-10 21:39:27,Android,"62.082882,-131.953731"
U000600,T0000020,2022-04-11 07:58:10,iPhone,
U000974,T0000021,2025-06-28 07:19:22,iPad,"82.340528,64.328406"
U000257,T0000022,2025-01-10 04:05:10,Windows,"78.019475,104.033048"
U000644,T0000023,2025-05-22 21:00:27,Windows,"-65.0344685,81.975086"
U000351,T0000024,2022-12-11 21:56:10,iPad,
U000028,T0000025,2024-06-16 05:01:44,Mac,"-3.0221505,-35.881338"
U000683,T0000026,2025-08-29 22:07:32,iPad,
U000122,T0000027,2025-04-24 15:41:57,,
U000186,T0000028,2024-01-31 23:44:23,Android,
U000582,T0000029,2022-05-31 16:51:43,Android,"4.2020505,-82.962819"
U000636,T0000030,2022-05-07 04:16:31,iPhone,"52.1289845,-147.987338"
U000373,T0000031,2022-09-13 00:25:00,Windows,
U000787,T0000032,2025-09-21 00:47:09,iPad,
U000344,T0000033,2024-06-15 22:04:23,Mac,
U000693,T0000034,2024-03-23 23:38:22,Windows,"61.743115,15.567928"
U000871,T0000035,2024-11-07 16:25:27,Mac,
U000521,T0000036,2024-04-14 21:28:04,Mac,"82.4555775,159.867658"
U000431,T0000037,2023-07-13 00:46:30,iPhone,"-67.5934645,74.070245"
U000690,T0000038,2024-04-28 16:08:59,Android,"-42.1131405,57.779612"
U000992,T0000039,2024-05-12 12:07:11,Mac,
U000714,T0000040,2025-01-28 02:36:11,iPad,
U000053,T0000041,2023-01-05 11:28:58,,
U000860,T0000042,2022-09-16 22:03:12,iPad,"29.251715,-168.970633"
U000360,T0000043,2023-11-26 07:22:19,Web,"89.7482445,-138.389187"
U000672,T0000044,2025-05-05 09:11:46,iPad,"-26.976378,-60.425534"
