trend_id,name,url,promoted_content,query,tweet_volume,location,updated_at
TR0001,Southern range movement,http://robinson.info/,False,Southern%20range%20movement,9900,KN,2024-12-14 02:19:22
TR0002,Begin character suggest firm,https://www.crosby.biz/,False,Begin%20character%20suggest%20firm,46565,,2025-02-28 17:31:40
TR0003,Whom happy early,,False,Whom%20happy%20early,,CO,2025-10-03 07:37:21
TR0004,Never,,True,,364,BB,2025-05-11 09:40:36
TR0005,Go seven,http://www.oliver-thompson.com/,False,Go%20seven,300197,HU,2025-10-23 14:52:10
TR0006,On challenge page,https://www.blackwell.org/,False,On%20challenge%20page,1384592,,2025-09-19 22:50:11
TR0007,Word about focus,http://gutierrez.com/,True,Word%20about%20focus,15467,MK,2025-02-22 03:37:15
TR0008,Return,https://www.barton.info/,False,Return,3655,,2025-07-26 21:44:24
TR0009,Opportunity road,https://ramirez-adams.com/,True,Opportunity%20road,447765,,2025-03-01 16:19:24
TR0010,As part least area,http://reilly-clay.com/,False,As%20part%20least%20area,965851,SE,2025-03-16 00:32:49
TR0011,Throughout collection ability,http://glenn.com/,False,Throughout%20collection%20ability,,JM,2025-05-08 23:43:24
TR0012,Just training,https://wang.info/,False,Just%20training,14223,,2025-03-28 01:41:23
TR0013,Growth,https://www.escobar.com/,False,Growth,18773,RS,2025-01-17 12:50:15
TR0014,Economic fine relate,https://lee.com/,False,Economic%20fine%20relate,773,,2025-07-28 17:50:41
TR0015,Personal newspaper,http://davis-soto.biz/,True,Personal%20newspaper,12304,RS,2025-05-12 09:50:43
TR0016,Family throw,,False,Family%20throw,680024,,2025-11-09 16:31:46
TR0017,Food everything in,,False,Food%20everything%20in,15718,,2024-12-06 07:29:36
TR0018,War professor,http://www.pierce-howard.info/,False,War%20professor,2751,,2025-09-07 08:25:53
TR0019,Show,https://walls-smith.com/,False,Show,59478,,2025-10-26 08:00:33
TR0020,Even area,http://www.foster.com/,False,Even%20area,5799,,2025-02-13 16:26:17
TR0021,Your rule,https://austin.net/,True,Your%20rule,19285,,2025-10-13 06:57:52
TR0022,Modern think civil,http://shepherd.com/,False,Modern%20think%20civil,1741,,2024-12-29 19:47:23
TR0023,Decade why dream,http://rowe-phillips.net/,True,,2770,,2025-05-11 13:48:41
TR0024,Week adult other thing,,False,,96309,,2025-10-14 04:22:27
TR0025,Share beat number,https://www.garza.com/,False,Share%20beat%20number,27770,GQ,2025-12-01 16:10:41
TR0026,Day,http://www.parker.com/,False,Day,4665,,2025-11-04 19:45:17
TR0027,Short even cause,http://www.clay.com/,False,Short%20even%20cause,27975,,2025-10-12 10:16:29
TR0028,Carry figure discussion,https://www.trujillo-hernandez.com/,False,Carry%20figure%20discussion,6540,,2025-10-03 17:03:05
TR0029,Too minute subject,http://www.mcintyre.info/,False,Too%20minute%20subject,4593,,2025-09-05 21:44:21
TR0030,Cup happy hospital,,True,,225949,,2025-03-16 00:56:50
TR0031,Adult student,https://www.martinez.net/,False,Adult%20student,,,2025-03-17 17:46:15
TR0032,Production can while,http://sullivan-welch.net/,False,Production%20can%20while,21108,,2025-01-24 17:57:39
TR0033,Question laugh,,False,,,VU,2025-03-21 20:51:13
TR0034,One for,https://www.stewart-frank.org/,False,One%20for,21659,ZW,2025-07-31 14:59:36
TR0035,Since child,https://odom.biz/,True,Since%20child,58338,,2025-04-12 23:58:33
TR0036,Relate center,http://chapman-schmidt.info/,False,Relate%20center,4451,SD,2025-08-25 20:50:32
TR0037,Chair tree management,https://williams-fuller.com/,True,,123625,,2025-07-30 09:32:39
TR0038,Program project yourself piece,https://www.roberts-romero.com/,True,,44673,,2025-11-12 01:24:08
TR0039,New necessary,http://hamilton.biz/,False,New%20necessary,13015,MR,2025-10-24 04:06:20
TR0040,Their above value,http://www.beard.com/,True,Their%20above%20value,8303,,2025-05-17 21:35:46
TR0041,Anyone where,http://www.parker-contreras.com/,True,Anyone%20where,,VA,2025-04-11 07:56:50
TR0042,Indicate population,https://www.joseph-blair.com/,False,Indicate%20population,,,2025-11-14 05:57:09
TR0043,Show positive,http://lane-robinson.info/,False,Show%20positive,5443,BE,2025-06-30 01:43:52
TR0044,Hair how other,https://haley-guerrero.com/,True,Hair%20how%20other,10207,BR,2025-09-05 09:26:06
TR0045,No none stuff production,,False,No%20none%20stuff%20production,102581,,2025-10-20 00:31:15
TR0046,This concern down,https://anderson.com/,False,This%20concern%20down,879,,2024-12-22 12:19:59
TR0047,Prove whose yourself police,,False,Prove%20whose%20yourself%20police,10820,TM,2025-08-28 18:18:44
TR0048,Quality woman reveal,http://www.walsh-mccormick.org/,True,Quality%20woman%20reveal,187430,,2025-01-13 12:27:11
TR0049,Certain magazine,http://www.carter-potter.net/,False,Certain%20magazine,15733,,2025-03-21 19:24:00
TR0050,Worker increase,,False,Worker%20increase,38011,,2025-09-28 04:09:26
TR0051,Become hit commercial call,,False,Become%20hit%20commercial%20call,193597,,2025-09-28 00:23:02
TR0052,Campaign option,https://www.brown.net/,True,Campaign%20option,131223,,2025-12-01 05:05:27
TR0053,Mind visit,http://www.jackson-cole.com/,False,Mind%20visit,9135,,2025-04-09 04:14:15
TR0054,Leader likely,http://www.taylor-davis.com/,False,Leader%20likely,16970,,2025-04-26 19:41:02
TR0055,Month number,https://www.moore.com/,True,Month%20number,134528,CD,2025-04-30 14:36:01
TR0056,Eye above recognize,http://osborne.com/,False,Eye%20above%20recognize,144197,LV,2025-09-11 03:10:22
TR0057,Energy bed,http://www.thompson.info/,True,Energy%20bed,18469,,2025-08-08 03:43:02
TR0058,Same why quality,https://cabrera-blake.com/,False,Same%20why%20quality,19789,KM,2025-09-26 01:03:47
TR0059,Term,https://www.roberts-morse.com/,False,Term,37622,,2025-06-03 20:47:19
TR0060,Realize successful,http://love.com/,False,Realize%20successful,339015,,2025-10-14 11:57:58
TR0061,Sure stay,https://www.stout.com/,False,Sure%20stay,186303,TN,2025-03-15 01:11:00
TR0062,Add laugh house,http://myers.net/,True,Add%20laugh%20house,88148,,2025-03-18 07:21:02
